Artist,Song Name,Author of Custom (CLICK HERE TO FIND THE FILES)
1.O.M.,"As Above, So Below",Moochalacho
1.O.M. ,CHARGE,Moochalacho
1.O.M. ,Zero Hour,Moochalacho
1.O.M. ,The Breach,Moochalacho
1.O.M. ,Overrun,Moochalacho
1.O.M. ,Challenger (ft. Krank'it Critch),Moochalacho
1.O.M. ,LXC (ft. Ryan Orion),Moochalacho
1.O.M. ,Adrift,Moochalacho
1.O.M. ,"Farewell, Traveler",Moochalacho
1.O.M. ,Odyssey,Moochalacho
1.O.M. ,Apex,Moochalacho
311,Applied Science (Live),TheLieInKing
66Samus,Take On Me [A-ha],Moochalacho
66Samus,Coincidance [James Manzello],Moochalacho
66Samus,Tequila [The Champs],Moochalacho
66Samus ,Modern Drummer Fest Solo (2020),Moochalacho 
66Samus ,Black Lotus [Andy Gillion],Confury
66Samus ,Demolisher [Slaughter to Prevail],Moochalacho
66Samus ,The Dance of Eternity [Dream Theater],Grinnz
7for4 ,Cyclotron,TheCourtofAPorcupine 
A Million Dead Birds Laughing,Umbilical Dystrophy,Xane60
Abated Mass Of Flesh,Choked,Xane60
Abiogenesis,Visualize ,SoundHaven
Abiotic,Facades,SoundHaven
Abiotic,The Wrath,YaBoiBenimaru
Abiotic ,Ikigai,YaBoiBenimaru
Abiotic ,If I Do Die (ft. Brandon Ellis),YaBoiBenimaru
Abiotic ,Horadric Cube (ft. Scott Carstairs),YaBoiBenimaru
Abiotic ,Her Opus Mangled (ft. Jared Smith),YaBoiBenimaru
Abiotic ,Gyokusai,YaBoiBenimaru
Abiotic ,"Grief Eater, Tear Drinker (ft. Jonathan Carpenter)",YaBoiBenimaru
Abiotic ,Covered the Cold Earth,YaBoiBenimaru
Abiotic ,Souvenir of Skin (ft. Trevor Strnad),YaBoiBenimaru
Abiotic ,Smoldered (ft. Chaney Crabb),YaBoiBenimaru
Abiotic ,Mutation,YaBoiBenimaru
Abnormality,Visions,Onyxite
Abnormality,Mechanisms Of Omniscience,Xane60
Abominable Putridity,A Massacre In The North,Xane60
Aborted,Bit By Bit (Ken Bedene Drum Playthrough),SoundHaven
Aborted,Vespertine Decay,RhythMassacre
Aborted ,Impetus Odi (Ken Bedene Drum Playthrough),TheCourtofAPorcupine 
Absu,Pillars Of Mercy,Inventor211 
Abysmal Dawn,Perfecting Slavery,LillianOfficial 
Abysmal Dawn,Human Obsolescence,LillianOfficial 
Abysmal Dawn,Soul-Sick Nation,LillianOfficial 
Abysmal Dawn ,Inanimate,LillianOfficial 
Acrania,Exterminate The Liberated,SoundHaven
Acrania,"Lobotomise, Dehumanise, Negate",SoundHaven
Acrania,Disillusion in a Discordant System,Moochalacho
Adagio,Chosen,Xane60
Adam Bjork,Faint [Linkin Park],SoundHaven
Adam Bjork,Whore to a Chainsaw [Thy Art Is Murder],SoundHaven
Adam Bjork,The Breeding Process [Aversions Crown] ,SoundHaven
Adam Bjork,Purgatory [Despised Icon] ,SoundHaven
Adam Bjork,Remote Tumour Seeker [Archspire] ,SoundHaven
Adam Bjork,Nightcrawler [Signs of the Swarm],Moochalacho
Adam Gray,Rap God [Eminem],SoundHaven
Adrenaline Mob ,Undaunted,Boo
AEON,Kill Them All,MikeCaputoDrums
AEON ,Forgiveness Denied,MikeCaputoDrums
Aethereus,Son of a Nameless Father,YaBoiBenimaru
After The Burial,The Fractal Effect,SoundHaven
After The Burial,Lost In The Static,SoundHaven
After The Burial,Virga,SoundHaven
After The Burial,Ometh,SoundHaven
After The Burial ,Drifts,Xane60
After the Burial ,Your Troubles Will Cease and Fortune Will Smile Upon You,Inventor211
Agent Fresco,Dark Water,Boo
Agoron,The God Machine,Xane60
AISHA ,The Disaster of Passion,YaBoiBenimaru
Alex Micklewright,Demean [Nervecell],Xane60
Alex Rudinger,Cause for Concern [Evan Brewer],SoundHaven
Alex Rudinger,Storm [Kaz Rodriguez] ,SoundHaven
Alex Rudinger,7 Mindgames [Kaz Rodriguez] ,Confury
Alex Rudinger,Addictive [Kaz Rodriguez] (2017),Confury
Alex Rudinger,Gravity And Fiction [Jake Bowen],Confury
Alex Rudinger,Say What You Say [Eminem],Confury
Alex Rudinger,Shift [Kaz Rodriguez] ,Confury
Alex Rudinger,Productable [Jake Bowen],Confury
Alex Rudinger,The March [7Horns7Eyes],Confury
Alex Rudinger,Silent Senate (Demo) [Ordinance],TheCourtofaPorcupine
Alex Rudinger,Addictive [Kaz Rodriguez] (2019),SoundHaven
Alex Rudinger,Mario Kart Jam [Kenta Nagata],Confury
Alex Rudinger,Converter [Mega Drive] ,Confury
Alex Rudinger,Let The Groove Get In [Justin Timberlake],Confury
Alex Rudinger,Let Me Down [Oliver Tree],Confury
Alex Rudinger,Disposition [Threat Signal],SoundHaven
Alex Rudinger,When a Demon Defiles a Witch [Whitechapel],Inventor211 
